,original_review,original_reply,rating,gpt_review,gpt_reply,sentiment,score
10,퀄리티도 좋고 맛도 맛있어요. 리뷰 이벤트 묵사발도 넘 맛있어요,"맛있는 순간을 저희 브랜드와 함께 해주셔서 감사할 따름입니다 음식은 역시 맛이 가장 기본인데, 그 기본을 칭찬해 주셔서 감동입니다 아직도 레시피 공부하고, 연습하고 있거든요 사실.더욱 잘 해서 계속 마음속에 남아 있고 싶습니다 앞으로도 행복한 하루 보내시길 바랄게요 ",5, 김치찌개는 별로였어요. 약간 김치국 느낌이 나서 실망했어요. 고기도 별로였고. ,이해합니다. 김치찌개의 만족도가 낮아 실망하셨을 것 같아요. 더욱 노력하도록 하겠습니다.,부정,0.9088118672370911
11,호다닥먹느라고 사진을 못찍었네요 . 늦게까지하고 푸짐하고 고기는 무조건 여기임!,"별점 5개와 리뷰를 잊지 않고 남겨주셔서 감사합니다 주문 해 주셨을 때 저희는 맛을 약속 드린다고 생각하고 있습니다 기대하시는 맛을 매번 드린다는 게 쉽지는 않지만! 이렇게 좋은 말씀 들을 수 있어 너무 보람 찬 것 같습니다 소중한 시간에 저희 매장 이용해주셔서 너무 감사드리고, 좋은 하루 되세요! ",5, 양이 너무 많아서 배터질뻔했어요. 서비스도 별로였어요. ,너무 많은 양으로 불편하셨나봐요. 앞으로는 양에 대한 고객의 요구를 더욱 신경써서 처리하도록 하겠습니다.,부정,0.8205140233039856
12,맛있게 잘먹었습니다 배달도 빨리오고 좋네요 감사합니다,좋은 말씀으로 마음까지 따뜻하게 만들어주셔서 진심으로 감사드립니다 당연히 맛은 기본이 되어야 된다고 생각합니다 칭찬 주셔서 행복하네요 더욱 힘내서 이번과 같은 만족감 매번 드릴 수 있게 하겠습니다! 언제 어디서든 기분 좋은 일들만 가득하시길 바라요 ,5, 맛이 너무 싱거웠어요. 제 입맛에는 맞지 않았어요. ,맛에 대한 개인적인 취향 차이가 있을 수 있어요. 다음에는 더 다양한 맛을 제공할 수 있도록 노력하겠습니다.,부정,0.929306149482727
13,사진보다 실물이 백배 맛있어요~ 고기 양도 많아요~ 배달시간도 딱 맞춰서 보내주셨어요~,"이렇게 저희 매장 찾아주셔서 감사드립니다! 맛 뿐만 아니라 양도, 서비스도 모두 최상의 품질을 드리려고 노력하고 있습니다 모든 직원들이 힘내서 고객님의 마음을 잡기 위해 계속 노력하겠습니다 항상 건강 챙기시고, 오늘도 즐거운 하루 보내시길 바라겠습니다 ",5, 배달이 너무 늦게 왔어요. 기다리느라 피곤했어요. ,배달이 늦어 정말 죄송합니다. 앞으로는 더 신속한 배달을 위해 노력하도록 하겠습니다.,부정,0.854981541633606
14,리뷰가 늦었네요. 맛있게 잘 먹었습니다. 또 시킬게요!,"좋은 리뷰 덕분에 기분이 행복해지는 것 같아요 고객님께서 맛있다고 말씀 주시니 피로가 싹~ 사라지네요! 주방에서 힘든 일도 있고 늘 쉽지만은 않지만, 이런 리뷰 읽을 때 마다 보람차고 다시 시작할 수 있는 거 같습니다 정말 감사드려요 오늘도 화이팅 있게 마무리하시길 바라요 ",5, 맛있게 먹을 거라 기대했는데 실망했어요. 너무 싱겁고 짜지 않았어요. ,기대에 못 미쳤다니 정말 죄송해요. 맛에 대한 부분에 대해서 더 신경 써서 제공하도록 하겠습니다.,부정,0.9214335680007935
15,굿 말이 필요 없는 메뉴 였습니다,"수 많은 매장들을 헤치고 와주셔서 감사합니다! 저희 매장의 메뉴를 제대로 즐기신 거 같아 너무 영광이에요 모두 마음에 드셨을까요?전부 정성껏 준비했지만, 늘 주문해 주신 분들의 평가를 기다릴 땐 떨려요 더욱 만족스러운 시간 드릴 수 있게 노력하겠습니다 ",5, 다른 메뉴를 시켰더니 엉망이었어요. 서비스도 별로였고 맛도 별로였어요. ,엉망이었다니 정말 죄송합니다. 앞으로는 정확한 주문 처리와 서비스를 제공할 수 있도록 하겠습니다.,부정,0.9015048146247864
16,처음 주문했는데 맛있어서 다먹었어요 리뷰 묵사발도 꼭 드세요! 맛있게 잘먹었습니다 다음에 또 주문할게요,"정성 가득한 리뷰 작성해주셔서 감사합니다 맛있는 시간이 되셨다니 정말 다행입니다 저희 매장은 재료부터 맛, 포장, 서비스 모든 면에 진심을 담아 고객님이 완벽하게 행복하실 수 있도록 노력하겠습니다 언제든 신호만 주시면 바로 달려가는 매장이 되겠습니다! 다음에 또 만나요! ",5, 양도 적고 맛도 별로였어요. 다시 시키지 않을 것 같아요. ,적은 양과 심심한 맛으로 실망하셨군요. 미려한 음식과 풍부한 맛을 추구하도록 하겠습니다.,부정,0.9464738368988037
17,새벽부터 시켰는데 배송 시간 맞춰서 잘 와주셨고 도시락도 맛있고 묵사발도 맛있습니다~! ,"귀한 발걸음 감사합니다! 고객님의 리뷰는 저희를 성장시키는 원동력이 됩니다~ 내 가족, 내 친구가 먹는다는 마음으로 항상 더 나은 메뉴 드릴 수 있도록 정성껏 준비하겠습니다 저희 매장 찾아주셔서 감사의 말씀 드리며, 다음에 또 만나요 ",5, 음식이 맛이 없었어요. 양도 너무 적었어요. 실망했어요. ,배송이 늦어 불편을 드려 죄송합니다. 앞으로는 정확한 배송 시간을 준수하도록 하겠습니다.,부정,0.9294419884681702
18,정말 간만에 리뷰이벤트 받았기 때문이 아닌 진짜 맛있어서 리뷰써요,"저희 매장과 즐거운 시간 보내셨을까요? 칭찬 감사합니다 늘 최선을 다해서 조리하고 있지만, 이렇게 맛있게 드셔 주셨다고 해주시는 리뷰 보면 정말 마음이 따듯해지더라고요 더 맛있게 드릴 수 있게 더 노력해야겠어요! 언제나 웃음 가득한 일들만 계속되시길 바라며, 행복한 하루 보내세요 ",5, 배송이 너무 늦게 왔어요. 기다리느라 불편했어요. ,맛이 없고 배송이 늦었다니 정말 죄송합니다. 더 나은 맛과 빠른 배송을 위해 노력하겠습니다.,부정,0.8541022539138794
19,처음 주문해봤는데 엄청 푸짐하게 잘먹었습니다 감사합니다~ ,저희 매장을 찾아주셔서 감사의 말씀 드립니다 언제 드셔도 항상 행복하게 배부르실 수 있게! 오늘 좀 많이 먹었지만 항상 기분 좋게 배부르실 수 있도록! 신선한 재료들과 최고의 서비스로 보답해드리겠습니다! 더 열심히 해서 다음에도 꼭! 5점을 노려 보겠습니다 ,5, 맛이 없고 배송이 늦게 왔어요. 서비스도 별로였어요. ,고객님의 의견을 반영하여 더 나은 서비스를 제공할 수 있도록 노력하겠습니다.,부정,0.9228827953338623
20,비비는게? 힘들정도로 양도 엄청 많아요! 양 뿐만아니라 맛도 진짜 맛잇어요 완전 추천!,"즐거운 순간에 저희와 함께해주셔서 감사합니다. 배부름의 행복은 누구나에게 존재하죠 그 행복을 너무 잘 알기에, 항상 고객분들께 그 행복감을 전해 드리고 싶습니다! 언제 먹어도 맛있게, 배부르게 해 드리겠습니다! 마음속에 저희 매장이 새겨질 수 있도록 노력 많이 해 보겠습니다 ",5,김치찌개는 별로였어요. 약간 김치국 느낌이 나서 실망했어요. 고기도 별로였고.,죄송합니다. 김치찌개의 맛에 실망하셨다니 저희에게도 안타까운 일이었습니다. 다음에는 보다 맛있는 음식으로 보답해드릴 수 있도록 노력하겠습니다.,부정,0.9088118672370911
21,진짜 너무 자주 시켜먹어욧 소스가 삸싹 시큼한게 넘나 맛있고 고기도두툼하고 계란후라이 추가 사이드있으면 좋을거같아요,"안녕하세요! 저희 매장을 이용해 주셔서 진심으로 감사드려요! 저희의 메뉴가 만족스러우셨다니 보람 찹니다 준비한 메뉴들이 칭찬 받을 때가 진짜 희열 넘치고 행복한 거 같아요~칭찬만 받을 수 있게 매일 매장에서 연습 하고 있습니다 다음에도 기회가 된다면 저희와 함께 즐거운 시간 보내시길 바라며, 오늘도 따뜻한 하루 되세요 ",5,양이 너무 많아서 배터질뻔했어요. 서비스도 별로였어요.,고객님의 의견을 소중히 받아들이겠습니다. 양에 대한 부분도 개선할 수 있도록 노력하겠습니다. 불편을 드려 죄송합니다.,부정,0.8205140233039856
22,오늘도꿀맛꿀맛 넘모 깔끔해용,소중한 순간을 저희 브랜드와 함께 해주셔서 영광입니다 든든한 한끼 되셨을까요? 가족에게 드리는 마음으로 나가고 있는데 입맛에 맞으셨던 거 같아 다행입니다 앞으로도 믿고 시켜주실 수 있게 초심 잃지 않고 꾸준히 노력해 나가겠습니다! 항상 건강하시고 좋은 날만 계속되길 바랍니다 ,5,맛이 별로였어요. 기대한만큼 맛있지 않았어요.,맛에 대한 기대에 못미치셨다니 저희의 부족함을 느끼고 있습니다. 앞으로 더 맛있는 음식을 제공할 수 있도록 노력하겠습니다.,부정,0.9309751987457275
23,정말 맛있어요. 또 시켜 먹고 싶네요.,"오늘도 저희 매장에 귀한 발걸음을 해주셔서 영광입니다 맛에 대한 칭찬은 정말 언제 들어도 행복한 거 같아요 리뷰에서 이렇게 맛있다고 해주시는 걸 볼 때 마다, 다시 에너지가 모두 충전되는 느낌이더라고요 감사합니다 언제 어디 서든 기분 좋은 일들만 가득하시길 바라요! ",5,음식이 싱겁고 맛이 없어서 아쉬웠어요.,맛이 싱겁고 아쉽게 느껴진다니 저희도 매우 안타까워합니다. 맛을 보완할 수 있는 방법을 찾아보도록 하겠습니다.,부정,0.9237572550773621
24,양도 많고 진짜 맛있어요! 시원한 묵사발로 더위도 가라앉히고 밥이랑 고기 양도 많아서 배터지게 먹었습니다!,"저희 매장을 선택해주시고, 리뷰 남겨주셔서 감사합니다! 메뉴를 드시다가 양이 모자라면 저는 항상 속상함 플러스 서운함이더라고요. 언제든지 찾아 주셔도 항상 맛있는 메뉴를 즐겁게 드실 수 있도록 저희가 대기하고 있겠습니다 저희 매장을 찾아주셔서 정말 감사드리며, 오늘도 기쁜 순간들로만 가득하시길 바랍니다! ",5,배달 시간이 오래 걸렸고 음식이 따뜻하지 않았어요.,배달 시간과 음식의 상태에 불편을 드려 정말 죄송합니다. 다음에는 빠르고 따뜻한 음식을 제공할 수 있도록 노력하겠습니다.,부정,0.9086318016052246
25,맛있어서 이틀 연속 시켰어요! 최고에오 다른거 또 먹어볼게용 ,행복한 하루를 만들어 주셔서 감사합니다 와아! 또 와주셨어요! 행복합니다 매번 이렇게 칭찬만 들고 와 주셔서 몸 둘 바를 모르겠어요! 이러다 저 버릇 나빠지는 거 아니에요?! 하지만 그것도 좋을 거 같기도 하고. 그렇다고 방심하면 안 되니까 이제 정신 차릴게요 앞으로도 이번과 같은 만족감 드릴 수 있게 노력하고 있겠습니다 ,5,고기가 말라서 먹기 힘들었어요. 맛도 별로였어요.,고기의 상태와 맛으로 인해 불편을 드려 정말 죄송합니다. 맛을 개선하고 식재료의 상태를 더욱 신경쓰도록 하겠습니다.,부정,0.9232860803604126
26,너무 맛있어요 고기도 많고 최고!,이렇게 저희를 선택해 주셔서 감사합니다~ ~ 맛있는 메뉴를 맘껏 드시는 건 절대로 식탐이 많은 게 아닙니다! 정상입니다 저희가 제공해드리는 메뉴에 중독이 되시는 그날까지 저희들은 절대로 멈추지 않겠습니다! 오늘도 행복한 하루 보내세요! ,5,맛이 좀 느끼해서 먹기가 어려웠어요. 양도 많아서 남겨둘 수밖에 없었어요.,맛이 느끼하다고 느껴지셨다니 죄송합니다. 보다 깔끔하고 가벼운 맛의 음식을 제공해드릴 수 있도록 노력하겠습니다.,부정,0.912282407283783
27,구운 삼겹살도 맛있고 무엇보다 계란후라이와 스팸이 올라가 있는 검정쌀밥이 정말 맛있습니다. 거기에다 밑반찬과 흑돼지김치찌개도 맛있고 써비스로 주신 묵사발도 맛있네요. 폭염이라 조리하는데 많이 더우셨을텐데~ 잘 먹었습니다,"이번 주문을 통해 한걸음 가까워진 것 같아 기분이 좋아요! 항상 최고의 맛만 준비해 드리겠다는 그 마음으로 늘 노력하고 있습니다~ 저희 매장을 인생 맛집이라고 떠올리실 수 있도록, 고객님의 입맛을 제대로 저격 할 수 있도록 항상 노력하겠습니다 저희 매장이 생각 나실 때 언제든지 찾아주세요 ",5,음식이 너무 짠 맛이 나서 먹기 힘들었어요.,짠 맛으로 인해 어려움을 느끼셨다니 안타깝습니다. 짠맛을 조절하여 보다 만족스러운 음식을 제공하도록 하겠습니다.,부정,0.9283512830734253
28,배달 엄청 빨라서 놀랐어용 다른곳에서 김치찌개 시키면 너무 달아서 못먹었는데 여기는 적당히 매콤짭짤해서 맛있어요! 스팸도시락도 맛있어용 햄 엄청 많이 주심,"저희 매장을 찾아주셔서 진심으로 감사드립니다 모든 메뉴들은 빠른 시간 고객님께 배달되어야 하는데, 맛있게 잘 받으셨을까요?다음에도 오늘처럼 빨리 받으실 수 있게 기사님들과 잘 소통해서 유지하는 방법으로 찾아보겠습니다 오늘도 화이팅 넘치는 하루 보내시길 바라요~! ",5,맛이 너무 달고 기름지네요. 별로였어요.,달고 기름진 맛으로 불편을 드려 정말 죄송합니다. 보다 균형잡힌 맛을 제공할 수 있도록 노력하겠습니다.,부정,0.9295370578765869
29,넘모 꾸르맛꾸르맛 최고에용,늘 최고의 메뉴를 제공해드리고 싶습니다! 아끼지 않고 듬뿍듬뿍 해주시는 칭찬! 너~무 감사드려요 고객님이 저희와 함께하는 처음부터 끝까지~완벽하게 행복하실 수 있도록 마음과 정성 한가득 담아 보답하겠습니다 계속 잘 해서 고객님의 별들 다 갖고 갈 거에요 ,5,고기가 촉촉하지 않고 식어서 먹기가 좀 그랬어요.,고기의 상태로 인해 불편을 드려 정말 죄송합니다. 고기의 신선도에 더욱 신경쓰도록 하겠습니다.,부정,0.907020092010498
30,너무잘먹엇습니다 다음에또시킬게요,"저희 매장을 찾아주셔서 진심으로 감사드립니다 저희는 항상 맛있는 맛만~행복한 맛만 드리고 싶어요 찾아 주신 것만으로도 감사해서 보답 드리고 싶거든요 계속해서 지금보다 발전시켜 나갈게요! 그러니 언제든 불러만 주세요 항상 건강 잘 챙기시고, 기분 좋은 일들만 가득하시길 바라요! ",5, 김치찌개는 별로였어요. 약간 김치국 느낌이 나서 실망했어요. 고기도 별로였고. ,리뷰 남겨주셔서 죄송합니다. 맛과 양에 아쉬움을 느꼈다니 매우 유감입니다.,부정,0.9088118672370911
31,잘먹었습니다 완전맛있어요,주문해주시고 리뷰까지 써주셔서 진짜 행복해요 맛과 행복 지수는 비례하죠~ 아무리 힘든 날에도 맛난 메뉴가 입안 가득채워지면 금방 행복해지더라구요! 오늘 하루도 수고 많으셨어요 저희 매장에서 소소한 행복 찾아가시길 바랍니다 항상 같은 만족감 드릴 수 있도록 언제나 최선을 다해 운영 하겠습니다! 소중한 리뷰 남겨 주셔서 감사합니다 ,5, 양이 너무 많아서 배터질뻔했어요. 서비스도 별로였어요. ,저희 매장의 음식이 맞지 않았던 것 같아 죄송합니다. 더욱 향상된 서비스로 보답할 수 있도록 노력하겠습니다.,부정,0.8205140233039856
32,요즘 도시락 시키고 싶을 때마다 이집만 생각나요. 맛있고 양도 푸짐해서 단골중입니다 잘 먹었어요!,"소중한 시간에 저희 매장을 다시 이용해주셔서 감사합니다. 지난 번에 만족스러우셨던 경험을 바탕으로 재주문해주신 만큼, 골라 주신 메뉴로 만족감을 드리기 위해, 좋은 재료와 맛있는 레시피만 사용하겠습니다 지금보다 더 발전하고 꼼꼼히 챙기는 매장이 되기 위해 오늘도 힘내보겠습니다. 언제나 행복하고 건강하시기 바라겠습니다~",5, 맛도 별로였고 양도 적어서 좀 아쉬웠어요. ,많은 양으로 끼니를 보태드리던 점에 대한 불편을 드려서 죄송합니다. 그리고 고객님의 의견을 적극 반영하여 향상시킬 것을 약속드립니다.,부정,0.9187566041946411
33,아 정말 추억에 어머님 밥상 항상 먹지만 너무 정갈해서요 제발좀 드세요 스팸 과 복음 김치 밥은 넘 고슬 하고요 녹네요 감사합니다 ,"이번에도 역시 저희 메뉴가 만족감을 드린 거 같아 다행이에요! 맛 뿐만 아니라 양도, 서비스도 모두 최상의 품질을 드리려고 노력하고 있습니다 모든 직원들이 힘내서 고객님의 마음을 잡기 위해 계속 노력하겠습니다 마음속에 저희 매장이 박히실 수 있도록 노력 많이 해 보겠습니다~ ",5, 주문한 음식이 홀짝거렸어요. 퀄리티 관리가 좀 떨어지는 것 같아요. ,음식의 맛과 양에 아쉬움을 느낀 것 같아서 죄송합니다. 더 맛있는 음식과 품질을 제공할 수 있도록 노력하겠습니다.,부정,0.9212407469749451
34,첫 주문인데 고기부터 찌개까지 맛 양 부족함이없습니다 ,반갑습니다 5점짜리 리뷰로 따뜻함을 안고 와 주셔서 감사해요 저희 매장을 처음 찾아주신 고객님이시네요 믿고 주문해 주셔서 감사드립니다! 다음에 또 생각나실 때 찾아주시면 맛있는 음식과 기분 좋은 서비스로 보답하도록 하겠습니다! 기분 좋은 하루 보내세요 ,5, 매운맛을 요청했는데 전혀 매운맛이 아니어서 실망했어요. ,고객님의 매운맛 요청에 맞지 않아 죄송합니다. 좀 더 매운 맛을 원하시면 요청에 따라 조리해 드릴 수 있도록 하겠습니다.,부정,0.9027783870697021
35,일단 포장상태 보고 놀랬어요 박스 하나 깔아주셨는데 찬음식 뜨거운 음식 잘 분리 되어서 뜨끈하게 도착했어요! 리뷰들 보니 사장님이 피드백을 되게 잘 봐주시는 분인거같아요 그런 곳은 잘 될수밖에 없죠 덕분에 집밥 스타일 단골집 예약 완료입니당 맛있게 먹을게요!,"맛있는 순간을 저희와 함께해 주셔서 감사할 따름입니다 칭찬해주시고 이런 선물 같은 리뷰를 남겨주셔서 감사합니다 크. 정말 행복해요 지금 매장 운영하면서 이렇게 보람 느끼는 거지, 다른 게 뭐가 있겠어요! 주신 이 믿음과 점수에 누가 되지 않게, 저 정말 열심히 그리고 바르게 매장 운영할게요 소중한 주문과 리뷰 다시 한번 감사드리며, 오늘도 좋은 하루 보내세요! ",5, 포장이 잘못되어서 음식이 다 일그러지고 산뜻하지 않았어요. ,포장 상태에 문제가 있어 매우 죄송합니다. 더욱 신경써서 포장할 수 있도록 개선하겠습니다.,부정,0.9144131541252136
36,너무 많고 맛있네요~두번 나눠먹었습니다~ 가성비 최고!,저희 매장 찾아주신 것도 감사한데 리뷰까지.감동입니다 언제나 맛있는 메뉴를 배부를 때까지 먹는 건 제 소원 중 하나였습니다 항상 맛있다! 배부르다! 가 함께 느껴지시는 그날까지 최선을 다하겠습니다! 저희 메뉴에 중독되시는 그날까지 최선을 다하도록 하겠습니다! ,5, 배달이 너무늦어서 어쩔줄 몰랐어요. 음식이 이미 차가워진 상태였어요. ,음식이 차가워져 도착한 점에 대해 매우 유감입니다. 조금 더 신속하고 신선한 음식을 제공할 수 있도록 노력하겠습니다.,부정,0.8379254937171936
37,빠른배달감사드립니다.,"행복한 시간 보내셨을까요? 고객님께서 주문하신 메뉴를 정성스럽게 준비하여 포장도 꼼꼼히 확인하고 보내드렸는데 배달 중에 이상 없이 잘 전달된 거 같아 다행입니다 맛있는 순간이 되셨을까요? 항상 노력하며 지금보다 더 발전하고, 꼼꼼히 챙기는 매장이 되기 위해 오늘도 힘내보겠습니다! 너무나 감사합니다 ",5, 고기가 싱겁고 양도 적어서 별로였어요. ,고기와 양에 대한 아쉬움을 느끼셨다니 매우 유감입니다. 더 맛있고 풍부한 음식으로 보상하겠습니다.,부정,0.9253482818603516
38,정말늦게 시켯는데 잘가져다줘서 넘감사해요 맛잇게잘먹엇고 단골찜합니다 !,"이렇게 저희 매장 찾아주셔서 감사드립니다 음식은 역시 맛이 가장 기본인데, 그 기본을 칭찬해 주셔서 감동입니다 아직도 레시피 공부하고, 연습하고 있거든요 사실.더욱 잘 해서 계속 마음속에 남아 있고 싶습니다 저희 메뉴에 중독되시는 그날까지 최선을 다하도록 하겠습니다! ",5, 맛과 양이 아쉬웠어요. 다른 집에서 시켰어야 했나 싶네요. ,맛과 양에 아쉬움을 드려서 죄송합니다. 고객님의 소중한 의견을 통해 더 나은 맛과 서비스로 개선하도록 하겠습니다.,부정,0.9104058742523193
